ticker,name,sector,market
6857.T,アドバンテスト,semiconductor,JP
8035.T,東京エレクトロン,semiconductor,JP
6146.T,ディスコ,semiconductor,JP
6723.T,ルネサスエレクトロニクス,semiconductor,JP
6963.T,ローム,semiconductor,JP
7735.T,SCREENホールディングス,semiconductor,JP
3436.T,SUMCO,semiconductor,JP
4063.T,信越化学工業,semiconductor,JP
6976.T,太陽誘電,semiconductor,JP
6762.T,TDK,semiconductor,JP
6971.T,京セラ,semiconductor,JP
6981.T,村田製作所,semiconductor,JP
6861.T,キーエンス,semiconductor,JP
6588.T,東芝テック,semiconductor,JP
6779.T,日本電波工業,semiconductor,JP
NVDA,NVIDIA,semiconductor,US
AMD,Advanced Micro Devices,semiconductor,US
AMAT,Applied Materials,semiconductor,US
LRCX,Lam Research,semiconductor,US
KLAC,KLA Corporation,semiconductor,US
MU,Micron Technology,semiconductor,US
AVGO,Broadcom,semiconductor,US
QCOM,Qualcomm,semiconductor,US
TXN,Texas Instruments,semiconductor,US
ASML,ASML Holding,semiconductor,US
ADI,Analog Devices,semiconductor,US
MRVL,Marvell Technology,semiconductor,US
ON,ON Semiconductor,semiconductor,US
NXPI,NXP Semiconductors,semiconductor,US
MCHP,Microchip Technology,semiconductor,US
6988.T,日東電工,chemicals,JP
4063.T,信越化学工業,chemicals,JP
4183.T,三井化学,chemicals,JP
4188.T,三菱ケミカル,chemicals,JP
4042.T,東ソー,chemicals,JP
4021.T,日産化学,chemicals,JP
DOW,Dow Inc,chemicals,US
LYB,LyondellBasell,chemicals,US
DD,DuPont,chemicals,US
PPG,PPG Industries,chemicals,US
APD,Air Products,chemicals,US
6330.T,東洋エンジニアリング,Construction,JP
1925.T,大和ハウス工業,Construction,JP
1928.T,積水ハウス,Construction,JP
1801.T,大成建設,Construction,JP
1802.T,大林組,Construction,JP
1803.T,清水建設,Construction,JP
1812.T,鹿島建設,Construction,JP
LEN,Lennar,Construction,US
DHI,D.R. Horton,Construction,US
PHM,PulteGroup,Construction,US
